Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,30,1213,769,3628,690.75,0.000%,4.33902,14.61,1.00,3447.0
TOTAL,30,1213,769,3628,690.75,0.000%,4.33902,14.61,1.00,3447.0
