Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,130,130,130,0.00,0.000%,7.69231,5.85,1.45,779.0
TOTAL,1,130,130,130,0.00,0.000%,7.69231,5.85,1.45,779.0
